ID;Classe;Subclasse/Elemento;Nome;Status;Efeito;Flavor;Variavel;Custo_Ouro;Arquivos_Referenciados;Decisao
"knight_paladino_bencao_mare";"Cavaleiro";"Paladino (Ãgua)";"Bencao da Mare";"IMPLEMENTADO";"A Aura de Sobrevida pulsa 25% mais rapido e aumenta a regeneracao natural em +4 HP/s.";"As aguas sagradas circulam em pulsos acelerados, revitalizando tecidos e curando feridas profundas.";"synth_paladino_bencao_mare";"85";"objects\obj_player\Step_0.gml";""
"knight_paladino_bastiao_liquido";"Cavaleiro";"Paladino (Ãgua)";"Bastiao Liquido";"IMPLEMENTADO";"Barreira de sobrevida ganha capacidade maxima de +50% do HP e absorve 100% do dano de projeteis.";"Uma pelicula aquosa translucida que dissipa disparos a distancia antes que toquem o corpo.";"synth_paladino_bastiao_liquido";"105";"scripts\scr_combat\scr_combat.gml; objects\obj_player\Step_0.gml";""
"knight_paladino_gota_purificadora";"Cavaleiro";"Paladino (Ãgua)";"Gota Purificadora";"IMPLEMENTADO";"Eliminar um inimigo remove instantaneamente venenos ou queimaduras e cura 8 HP.";"Emanacoes puras limpam toxinas corporais instantaneamente quando o mal e purgado.";"synth_paladino_gota_purificadora";"95";"scripts\scr_combat\scr_combat.gml";""
"knight_paladino_correnteza_dilacerante";"Cavaleiro";"Paladino (Ãgua)";"Correnteza Dilacerante";"IMPLEMENTADO";"Inimigos na aura sofrem -40% de velocidade e recebem dano magico continuo a cada 0.5s.";"A aura gira como um turbilhao tempestuoso, desacelerando passos inimigos e corroendo sua carne.";"synth_paladino_correnteza_dilacerante";"115";"objects\obj_player\Step_0.gml";""
"knight_paladino_golpe_nascente";"Cavaleiro";"Paladino (Ãgua)";"Golpe da Nascente";"IMPLEMENTADO";"Cada 3o golpe de espada libera uma onda d'agua penetrante que cura o jogador em 5 HP.";"A cada ciclo de esgrima, a lamina faz brotar uma onda cortante de agua pristina que nutre o heroi.";"synth_paladino_golpe_nascente";"200";"scripts\scr_combat\scr_combat.gml";""
"knight_paladino_escudo_espelhado";"Cavaleiro";"Paladino (Ãgua)";"Escudo Espelhado";"IMPLEMENTADO";"Quando a barreira de sobrevida quebra por dano, explode cegando e empurrando num raio de 120px.";"A quebra da barreira estilhaca o espelho dagua em um estrondo que atordoa agressores.";"synth_paladino_escudo_espelhado";"115";"scripts\scr_combat\scr_combat.gml";""
"knight_paladino_graca_abencoada";"Cavaleiro";"Paladino (Ãgua)";"Graca Abencoada";"IMPLEMENTADO";"Receber cura enquanto estiver com HP cheio converte 50% do valor em barreira de sobrevida.";"A vitalidade excedente nunca e desperdicada, condensando-se em escudo de energia sagrada.";"synth_paladino_graca_abencoada";"135";"objects\obj_player\Step_0.gml";""
"knight_paladino_julgamento_sereno";"Cavaleiro";"Paladino (Ãgua)";"Julgamento Sereno";"IMPLEMENTADO";"Enquanto a barreira de sobrevida estiver ativa, a velocidade de ataque da espada aumenta em +25%.";"Sob o amparo da barreira luminosa, o cavaleiro manuseia a espada com serenidade e cadencia reluzente.";"synth_paladino_julgamento_sereno";"145";"objects\obj_player\Step_0.gml";""
"knight_berserk_arco_incendiario";"Cavaleiro";"Berserker (Fogo)";"Arco Incendiario";"IMPLEMENTADO";"Aumenta a area do corte da espada em +40% e queima o chao por 1.5s.";"O calor abrasador alarga a silhueta da espada, deixando rastros incandescentes no chao da masmorra.";"synth_berserk_arco_incendiario";"95";"scripts\scr_combat\scr_combat.gml";""
"knight_berserk_frenesi_ardente";"Cavaleiro";"Berserker (Fogo)";"Frenesi Ardente";"IMPLEMENTADO";"Cada golpe consecutivo concede +5% de velocidade de ataque (acumula ate 6 vezes por 3s).";"A adrenalina e as brasas aceleram os musculos a cada contato cortante consecutivo com o ferro.";"synth_berserk_frenesi_ardente";"105";"scripts\scr_combat\scr_combat.gml";""
"knight_berserk_combustao_espontanea";"Cavaleiro";"Berserker (Fogo)";"Combustao Espontanea";"IMPLEMENTADO";"Inimigos mortos sob efeito de Queimadura explodem causando 60% do dano do ataque em area.";"Inimigos em chamas entram em ponto critico ao morrer, detonando pirotecnicamente entre aliados.";"synth_berserk_combustao_espontanea";"115";"scripts\scr_combat\scr_combat.gml";""
"knight_berserk_sede_sangue";"Cavaleiro";"Berserker (Fogo)";"Sede de Sangue";"IMPLEMENTADO";"Golpes criticos recuperam 15% do dano causado como vida e prolongam a Furia Ardente em +0.5s.";"A furia cega se alimenta da dor inimiga, restaurando a fibra muscular e mantendo o frenesi aceso.";"synth_berserk_sede_sangue";"200";"scripts\scr_combat\scr_combat.gml";""
"knight_berserk_cinzas_sacrificio";"Cavaleiro";"Berserker (Fogo)";"Cinzas do Sacrificio";"IMPLEMENTADO";"Ativar Furia Ardente consome 10% do HP atual, mas dobra o bonus de dano de fogo nos primeiros 3s.";"O berserker queima o proprio sangue em troca de um pico de destruicao piroclastica estarrecedor.";"synth_berserk_cinzas_sacrificio";"135";"scripts\scr_combat\scr_combat.gml; objects\obj_player\Step_0.gml";""
"knight_berserk_lamina_brasa";"Cavaleiro";"Berserker (Fogo)";"Lamina em Brasa";"IMPLEMENTADO";"Inimigos com armadura perdem 50% da sua reducao de dano contra seus ataques de fogo.";"Temperatura vulcanica capaz de fundir escudos pesados e rachar as couracas rochosas dos golens.";"synth_berserk_lamina_brasa";"200";"scripts\scr_combat\scr_combat.gml";""
"knight_berserk_vinganca_flamejante";"Cavaleiro";"Berserker (Fogo)";"Vinganca Flamejante";"IMPLEMENTADO";"Sofrer dano fisico descarrega uma labareda ao redor do corpo que atinge todos num raio de 70px.";"Cada ferida sofrida rompe uma valvula de pressao, expelindo um anel de chamas ao redor do corpo.";"synth_berserk_vinganca_flamejante";"115";"scripts\scr_combat\scr_combat.gml";""
"knight_berserk_furia_imortal";"Cavaleiro";"Berserker (Fogo)";"Furia Imortal";"IMPLEMENTADO";"Enquanto a habilidade Furia Ardente estiver ativa, o jogador nao pode ser derrotado (mantem 1 HP).";"A recusa obstinada em morrer enquanto o fogo da furia continuar crepitando no peito.";"synth_berserk_furia_imortal";"155";"scripts\scr_combat\scr_combat.gml";""
"knight_duelista_riposte_perfeito";"Cavaleiro";"Duelista (Vento)";"Riposte Perfeito";"IMPLEMENTADO";"Acertar um Parry com menos de 0.1s de margem causa +100% de dano critico no contra-ataque.";"Sincronismo milimetrico no aparo da lamina hostil abrindo brechas para um contra-golpe mortal.";"synth_duelista_riposte_perfeito";"105";"scripts\scr_combat\scr_combat.gml";""
"knight_duelista_passo_eolico";"Cavaleiro";"Duelista (Vento)";"Passo Eolico";"IMPLEMENTADO";"Bloquear ou aparar um golpe permite realizar um dash instantaneo na direcao de mira sem custo.";"Deslize etereo impulsionado pelo ricochete do bloqueio para reposicionar o heroi instantaneamente.";"synth_duelista_passo_eolico";"95";"scripts\scr_combat\scr_combat.gml";""
"knight_duelista_combo_vendaval";"Cavaleiro";"Duelista (Vento)";"Combo Vendaval";"IMPLEMENTADO";"O segundo golpe do combo dispara uma rajada cortante de vento que atinge inimigos distantes.";"O segundo floreio do combo corta o ar com tanta pressao que cria um bumerangue de vacuo voador.";"synth_duelista_combo_vendaval";"115";"scripts\scr_combat\scr_combat.gml";""
"knight_duelista_danca_laminas";"Cavaleiro";"Duelista (Vento)";"Danca das Laminas";"IMPLEMENTADO";"Aumenta a velocidade de movimento base em +25% por 2s apos cada abate.";"Fluidez acrobata inebriante que converte cada baixa em aceleracao ritmica pelos corredores.";"synth_duelista_danca_laminas";"105";"scripts\scr_combat\scr_combat.gml";""
"knight_duelista_aparar_cadeia";"Cavaleiro";"Duelista (Vento)";"Aparar em Cadeia";"IMPLEMENTADO";"Aparar um golpe reseta imediatamente o tempo de recarga da habilidade de Parry.";"Dominio ritmico de esgrima que aproveita o balanco do bloqueio anterior para aparar o proximo.";"synth_duelista_aparar_cadeia";"135";"scripts\scr_combat\scr_combat.gml";""
"knight_duelista_vacuo_cortante";"Cavaleiro";"Duelista (Vento)";"Vacuo Cortante";"IMPLEMENTADO";"O contra-ataque do Parry puxa todos os inimigos proximos para o centro antes de explodir.";"Um vortice centripeto se forma no ponto de impacto puxando monstros desavisados para o centro.";"synth_duelista_vacuo_cortante";"200";"scripts\scr_combat\scr_combat.gml";""
"knight_duelista_reflexos_celere";"Cavaleiro";"Duelista (Vento)";"Reflexos Celere";"IMPLEMENTADO";"Concede +15% de chance de esquiva passiva permanente contra qualquer golpe.";"Instintos agucados que pressentem trajetorias de ataque, deixando apenas imagens residuais no ar.";"synth_duelista_reflexos_celere";"135";"scripts\scr_combat\scr_combat.gml";""
"knight_duelista_estocada_fulminante";"Cavaleiro";"Duelista (Vento)";"Estocada Fulminante";"IMPLEMENTADO";"Se o golpe de uma sequencia atingir as costas do inimigo, causa 2.5x de dano.";"Puncionamento cirurgico na espinha ou pontos cegos de adversarios desatentos.";"synth_duelista_estocada_fulminante";"145";"scripts\scr_combat\scr_combat.gml";""
"knight_guardiao_muralha_sismica";"Cavaleiro";"GuardiÃ£o (Terra)";"Muralha Sismica";"IMPLEMENTADO";"O Bastiao de Terra cria estalagmites no chao ao redor bloqueando passagens e inimigos.";"O impacto firme da postura faz brotar estalagmites macicas que estrangulam corredores e hordas.";"synth_guardiao_muralha_sismica";"105";"objects\obj_player\Step_0.gml";""
"knight_guardiao_provocacao_esmagadora";"Cavaleiro";"GuardiÃ£o (Terra)";"Provocacao Esmagadora";"IMPLEMENTADO";"Inimigos provocados pelo Guardiao tem seu dano reduzido em 30% contra o jogador por 4s.";"Grito de desafio ensurdecedor que abala a coragem dos monstros, enfraquecendo seu poder ofensivo.";"synth_guardiao_provocacao_esmagadora";"115";"objects\obj_player\Step_0.gml";""
"knight_guardiao_carapaca_granito";"Cavaleiro";"GuardiÃ£o (Terra)";"Carapaca de Granito";"IMPLEMENTADO";"Concede +12 de defesa fisica e imunidade a qualquer tipo de knockback ou empurrao.";"Camada densa de minerais sobre as placas de ferro tornando o guerreiro tao inamovivel quanto uma montanha.";"synth_guardiao_carapaca_granito";"200";"scripts\scr_combat\scr_combat.gml";""
"knight_guardiao_retaliacao_sismica";"Cavaleiro";"GuardiÃ£o (Terra)";"Retaliacao Sismica";"IMPLEMENTADO";"Devolve 50% do dano de qualquer golpe recebido como dano de terra para todos ao redor.";"A vibracao sismica devolve o choque em fragmentos de pedra pontiagudos em todas as direcoes.";"synth_guardiao_retaliacao_sismica";"200";"scripts\scr_combat\scr_combat.gml";""
"knight_guardiao_fissura_telurica";"Cavaleiro";"GuardiÃ£o (Terra)";"Fissura Telurica";"IMPLEMENTADO";"Cada 4o golpe de espada faz rachar o chao em linha reta, atordoando o primeiro inimigo por 0.8s.";"Golpe descendente monumental que abre uma fenda no solo rochoso da masmorra.";"synth_guardiao_fissura_telurica";"135";"scripts\scr_combat\scr_combat.gml";""
"knight_guardiao_bastiao_inabalavel";"Cavaleiro";"GuardiÃ£o (Terra)";"Bastiao Inabalavel";"IMPLEMENTADO";"Bloquear ataques converte 15% do dano bloqueado em regeneracao de vida temporaria.";"A firmeza inquebravel do escudo ancora as forcas vitais na terra, cicatrizando o organismo.";"synth_guardiao_bastiao_inabalavel";"200";"scripts\scr_combat\scr_combat.gml";""
"knight_guardiao_peso_esmagador";"Cavaleiro";"GuardiÃ£o (Terra)";"Peso Esmagador";"IMPLEMENTADO";"Empurrar um inimigo contra uma parede causa dano de esmagamento extra de 25 por rank.";"A inercia do escudo e descomunal: colisoes contra rochas e paredes esmagam ossos com facilidade.";"synth_guardiao_peso_esmagador";"135";"scripts\scr_combat\scr_combat.gml";""
"knight_guardiao_fortaleza_viva";"Cavaleiro";"GuardiÃ£o (Terra)";"Fortaleza Viva";"IMPLEMENTADO";"Para cada inimigo a menos de 90px de distancia, ganha +3 de defesa e +5% de reducao de dano.";"Quanto mais cercado e pressionado por hordas, mais impenetravel se torna a presenca do Guardiao.";"synth_guardiao_fortaleza_viva";"145";"objects\obj_player\Step_0.gml";""
"knight_lendario_vapor_sagrado";"Cavaleiro";"HÃ­brido (Multi-elemental)";"Vapor Sagrado";"IMPLEMENTADO";"Ataques aplicam vapor escaldante: queimadura continua que tambem cura o jogador a cada tick.";"Fusao dos misterios da agua e do fogo gerando nevoas misticas que cauterizam e saram.";"synth_lendario_vapor_sagrado";"170";"scripts\scr_combat\scr_combat.gml";""
"knight_lendario_tempestade_poeira";"Cavaleiro";"HÃ­brido (Multi-elemental)";"Tempestade de Poeira";"IMPLEMENTADO";"O contra-ataque do Parry levanta uma tempestade de areia que cega projeteis inimigos por 3s.";"A sinergia entre terra e ar levanta areia em torvelinho, desviando projeteis antes de alcancarem o alvo.";"synth_lendario_tempestade_poeira";"170";"scripts\scr_combat\scr_combat.gml";""
"knight_lendario_gelo_fendido";"Cavaleiro";"HÃ­brido (Multi-elemental)";"Gelo Fendido";"IMPLEMENTADO";"O impacto do escudo cria espinhos de gelo permanentes que congelam inimigos que pisam neles.";"A frieza da agua e a solidez da terra criam estacas cristalizadas que paralisam agressores.";"synth_lendario_gelo_fendido";"180";"scripts\scr_combat\scr_combat.gml";""
"knight_lendario_tempestade_ignea";"Cavaleiro";"HÃ­brido (Multi-elemental)";"Tempestade Ignea";"IMPLEMENTADO";"O combo do Duelista dispara tornados de fogo que perseguem os alvos mais proximos.";"O sopro do vento alimenta o apetite do fogo criando torvelinhos flamejantes que cacam oponentes.";"synth_lendario_tempestade_ignea";"180";"scripts\scr_combat\scr_combat.gml";""
"knight_lendario_avatar_elemental";"Cavaleiro";"LendÃ¡rio (Supremo)";"Avatar Elemental";"IMPLEMENTADO";"+25% de dano de ataque fisico e magico e desencadeia explosoes combinadas elementais.";"Harmonia perfeita entre os quatro elementos desencadeando ondas binarias devastadoras.";"synth_lendario_avatar_elemental";"195";"scripts\scr_combat\scr_combat.gml";""
"knight_lendario_cavaleiro_apocalipse";"Cavaleiro";"LendÃ¡rio (Supremo)";"Cavaleiro do Apocalipse";"IMPLEMENTADO";"A cada 10 inimigos derrotados sem sofrer dano, o proximo golpe descarrega um meteoro no alvo.";"A maestria imaculada atrai a furia dos ceus, despencando cometas quando a sequencia de abates e perfeita.";"synth_lendario_cavaleiro_apocalipse";"210";"scripts\scr_combat\scr_combat.gml";""
"knight_lendario_escudo_titanico";"Cavaleiro";"LendÃ¡rio (Supremo)";"Escudo Titanico";"IMPLEMENTADO";"O tamanho do escudo dobra, cobrindo 180 frontais e bloqueando passagens inteiras.";"O metal se expande como um portal de fortaleza capaz de criar uma trincheira intransponivel para hordas.";"synth_lendario_escudo_titanico";"200";"objects\obj_player\Draw_0.gml";""
"knight_lendario_eco_ancestrais";"Cavaleiro";"LendÃ¡rio (Supremo)";"Eco dos Ancestrais";"IMPLEMENTADO";"Bloquear ou contra-atacar invoca o espirito translucido de um guerreiro que desfere um golpe gemeo.";"O sangue heroico desperta memorias de reis guerreiros antigos que espelham cada golpe desferido.";"synth_lendario_eco_ancestrais";"220";"scripts\scr_combat\scr_combat.gml";""
"mage_canalizacao_fluida";"Mago";"Base (Arcano)";"Canalizacao Fluida";"IMPLEMENTADO";"Mover-se nao interrompe a conjuracao do ataque magico basico.";"Postura deslizante que permite disparar encantamentos em pleno deslocamento sem perder cadencia.";"synth_mage_canalizacao_fluida";"0";"objects\obj_player\Step_0.gml";""
"mage_mente_cristalina";"Mago";"Base (Arcano)";"Mente Cristalina";"IMPLEMENTADO";"Ficar sem sofrer dano por 4s concede +20% de dano magico no proximo feitico.";"Concentracao inabalavel que acumula densidade arcana nas maos enquanto o mago evita ser golpeado.";"synth_mage_mente_cristalina";"0";"scripts\scr_combat\scr_combat.gml";""
"mage_eco_magico";"Mago";"Base (Arcano)";"Eco Magico";"IMPLEMENTADO";"Todo 4o projetil magico dispara uma replica menor adicional com 50% de dano.";"Ressonancia residual do eter que gera uma segunda fagulha menor logo apos o feitico principal.";"synth_mage_eco_magico";"0";"scripts\scr_combat\scr_combat.gml";""
"mage_protecao_mana_reativa";"Mago";"Base (Arcano)";"Protecao Mana-Reativa";"IMPLEMENTADO";"Ao sofrer um golpe que tire mais de 15% de HP, repele os inimigos em 120px.";"O impacto sofrido rompe uma bolsa eterea comprimida, empurrando ameacas a sua volta.";"synth_mage_protecao_mana_reativa";"95";"scripts\scr_combat\scr_combat.gml";""
"mage_sobrecarga_feitico";"Mago";"Base (Arcano)";"Sobrecarga de Feitico";"IMPLEMENTADO";"Acertos criticos magicos causam mini-explosao de 50px de raio com 40% de dano.";"Explosoes criticas que superaquecem o ar ao redor do ponto de impacto magico.";"synth_mage_sobrecarga_feitico";"135";"scripts\scr_combat\scr_combat.gml";""
"mage_condensacao_arcana";"Mago";"Base (Arcano)";"Condensacao Arcana";"IMPLEMENTADO";"Projeteis magicos que viajam mais de 250px ganham +25% de dano e tamanho.";"O projetil condensa particulas celestes durante a trajetoria, alcancando potencia maxima a distancia.";"synth_mage_condensacao_arcana";"65";"objects\obj_atk_fireball\Step_0.gml";""
"mage_sifao_alma";"Mago";"Base (Arcano)";"Sifao da Alma";"IMPLEMENTADO";"Derrotar um inimigo restaura instantaneamente 3 pontos de HP.";"Drenagem sutil da forca vital desgarrada das criaturas purgadas para fechar as proprias feridas.";"synth_mage_sifao_alma";"85";"scripts\scr_combat\scr_combat.gml";""
"mage_fluxo_conduzido";"Mago";"Base (Arcano)";"Fluxo Conduzido";"IMPLEMENTADO";"+15% de velocidade de viagem para todos os projeteis magicos disparados.";"Linhas ley alinhadas aceleram os disparos arcanos como relampagos pelo ar da masmorra.";"synth_mage_fluxo_conduzido";"85";"scripts\scr_combat\scr_combat.gml";""
"mage_ressonancia_foco";"Mago";"Base (Arcano)";"Ressonancia de Foco";"IMPLEMENTADO";"O Manashield dura +1.2s e reduz todo dano recebido em 25%.";"Hexagonos arcanos reforcados que prolongam a durabilidade do escudo protetor do mago.";"synth_mage_ressonancia_foco";"95";"scripts\scr_combat\scr_combat.gml";""
"mage_conhecimento_ancestral";"Mago";"Base (Arcano)";"Conhecimento Ancestral";"IMPLEMENTADO";"Ganha +2 de Poder Magico a cada 15 inimigos derrotados na run (maximo +12).";"A assimilacao de segredos antigos a cada lacaio expurgado expande o poder de conjuracao.";"synth_mage_conhecimento_ancestral";"105";"scripts\scr_combat\scr_combat.gml";""
"mage_crio_geada_penetrante";"Mago";"Criomante (Ãgua/Gelo)";"Geada Penetrante";"IMPLEMENTADO";"Projeteis basicos aplicam 30% de lentidao por 2s a cada impacto.";"Cristais frios que se fixam nas juntas dos monstros, entorpecendo seus movimentos.";"synth_crio_geada_penetrante";"85";"scripts\scr_combat\scr_combat.gml";""
"mage_crio_pico_glacial";"Mago";"Criomante (Ãgua/Gelo)";"Pico Glacial";"IMPLEMENTADO";"Inimigos sob lentidao recebem 1.5s de congelamento total se atingidos por magia.";"O frio acumulado atinge o zero relativo, congelando monstros em blocos solidos de gelo.";"synth_crio_pico_glacial";"105";"scripts\scr_combat\scr_combat.gml";""
"mage_crio_armadura_gelo_negro";"Mago";"Criomante (Ãgua/Gelo)";"Armadura de Gelo Negro";"IMPLEMENTADO";"Enquanto o Manashield estiver ativo, qualquer contato fisico congela o agressor.";"Pontas afiadas de gelo negro que recobrem a barreira, congelando o toque dos agressores.";"synth_crio_armadura_gelo_negro";"95";"scripts\scr_combat\scr_combat.gml";""
"mage_crio_onda_torrencial";"Mago";"Criomante (Ãgua/Gelo)";"Onda Torrencial";"IMPLEMENTADO";"O 3o ataque magico dispara uma mare frontal que arrasta monstros por 150px.";"Um jato frontal de agua em alta pressao que varre hordas inteiras pelo corredor.";"synth_crio_onda_torrencial";"115";"scripts\scr_combat\scr_combat.gml";""
"mage_crio_prisao_criogenica";"Mago";"Criomante (Ãgua/Gelo)";"Prisao Criogenica";"IMPLEMENTADO";"A Prisao Glacial (X) estilhaca no final, disparando 6 fragmentos congelantes.";"A quebra da redoma de gelo descarrega estilhacos perfurantes em todas as direcoes.";"synth_crio_prisao_criogenica";"200";"objects\obj_player\Step_0.gml";""
"mage_crio_orvalho_restaurador";"Mago";"Criomante (Ãgua/Gelo)";"Orvalho Restaurador";"IMPLEMENTADO";"Derrotar inimigos congelados gera uma poca dagua pura que regenera 8 HP.";"A quebra do gelo de inimigos derrotados condensa gotas pristinas curativas no piso.";"synth_crio_orvalho_restaurador";"115";"scripts\scr_combat\scr_combat.gml";""
"mage_crio_lanca_zero_absoluto";"Mago";"Criomante (Ãgua/Gelo)";"Lanca de Zero Absoluto";"IMPLEMENTADO";"Ataques contra inimigos imobilizados ou lentos tem +35% de chance de acerto critico.";"Espetos de gelo fino desenhados para quebrar couracas enrijecidas pelo frio extremo.";"synth_crio_lanca_zero_absoluto";"135";"scripts\scr_combat\scr_combat.gml";""
"mage_crio_coracao_geada";"Mago";"Criomante (Ãgua/Gelo)";"Coracao da Geada";"IMPLEMENTADO";"Imunidade a lentidao e venenos; converte 15% do dano de frio recebido em escudo.";"Simbiose completa com o elemento gelido: toxinas sao purgadas e frio vira vitalidade.";"synth_crio_coracao_geada";"145";"scripts\scr_combat\scr_combat.gml";""
"mage_piro_centelha_incandescente";"Mago";"Piromante (Fogo)";"Centelha Incandescente";"IMPLEMENTADO";"Projeteis basicos deixam inimigos em chamas por 3s causando dano continuo.";"Brasas vivas impregnadas nos projeteis que devoram a carne do alvo continuamente.";"synth_piro_centelha_incandescente";"95";"scripts\scr_combat\scr_combat.gml";""
"mage_piro_meteoro_menor";"Mago";"Piromante (Fogo)";"Meteoro Menor";"IMPLEMENTADO";"A cada 5 acertos magicos, um meteoro menor despenca causando 20 de dano em area.";"Chamado sutil do cosmos trazendo pedras incandescentes que despencam sobre agressores.";"synth_piro_meteoro_menor";"105";"scripts\scr_combat\scr_combat.gml";""
"mage_piro_rastro_flamejante";"Mago";"Piromante (Fogo)";"Rastro Flamejante";"IMPLEMENTADO";"Andar deixa uma esteira de brasas vivas por 1.5s que queima monstros que pisarem.";"Passos aquecidos ao rubro que transformam o chao da masmorra em uma esteira de brasas.";"synth_piro_rastro_flamejante";"115";"objects\obj_player\Step_0.gml";""
"mage_piro_inferno_expansivo";"Mago";"Piromante (Fogo)";"Inferno Expansivo";"IMPLEMENTADO";"Abater um inimigo em chamas faz com que ele exploda, espalhando fogo aos vizinhos.";"Corpos carbonizados entram em ignicao expontanea ao sucumbir, inflamando aliados.";"synth_piro_inferno_expansivo";"200";"scripts\scr_combat\scr_combat.gml";""
"mage_piro_ponto_fusao";"Mago";"Piromante (Fogo)";"Ponto de Fusao";"IMPLEMENTADO";"O dano de fogo ignora 50% da armadura fisica e magica dos inimigos.";"Calor vulcanico extremo capaz de liquefazer couracas de ferro e escudos magicos.";"synth_piro_ponto_fusao";"135";"scripts\scr_combat\scr_combat.gml";""
"mage_piro_conflagracao_furiosa";"Mago";"Piromante (Fogo)";"Conflagracao Furiosa";"IMPLEMENTADO";"O Ponto de Ignicao (X) atrai cinzas que aumentam a cadencia de feiticos em +30% por 3s.";"As cinzas incandescentes sopram furiosamente pelo cajado, acelerando novos lancamentos.";"synth_piro_conflagracao_furiosa";"200";"objects\obj_player\Step_0.gml";""
"mage_piro_sopro_dragao";"Mago";"Piromante (Fogo)";"Sopro de Dragao";"IMPLEMENTADO";"O feitico basico se torna um cone continuo de chamas a curto alcance com dano em area.";"A ponta do cajado cospe uma labareda torrencial conica no lugar de projeteis isolados.";"synth_piro_sopro_dragao";"115";"scripts\scr_combat\scr_combat.gml";""
"mage_piro_fenix_imortal";"Mago";"Piromante (Fogo)";"Fenix Imortal";"IMPLEMENTADO";"Ao sofrer dano fatal, liberta uma supernova curando 35% de vida (1 vez por run).";"A centelha primordial da fenix renasce das cinzas em uma supernova de cura quando o mago cai.";"synth_piro_fenix_imortal";"155";"scripts\scr_combat\scr_combat.gml";""
"mage_aero_arco_eletrico";"Mago";"Aeromante (Vento)";"Arco Eletrico";"IMPLEMENTADO";"Projeteis magicos encadeiam um raio secundario para ate 2 alvos proximos.";"Fagulhas ionizadas saltam do alvo primario para eletrocutar inimigos proximos.";"synth_aero_arco_eletrico";"105";"scripts\scr_combat\scr_combat.gml";""
