"id","classe","nome","efeito","status","Pontos 0 > 1","Pontos 2 > 4","Pontos 5 > 10"
"knight_paladino_escudo_espelhado","Cavaleiro (Paladino)","Escudo Espelhado","Quando a barreira de sobrevida quebra por dano, explode cegando e empurrando num raio de 120px.","Sem Escalonamento (Flag > 0)","3","",""
"knight_paladino_graca_abencoada","Cavaleiro (Paladino)","Graca Abencoada","Receber cura enquanto estiver com HP cheio converte 50% do valor em barreira de sobrevida.","Sem Escalonamento (Flag > 0)","4","",""
"knight_paladino_julgamento_sereno","Cavaleiro (Paladino)","Julgamento Sereno","Enquanto a barreira de sobrevida estiver ativa, a velocidade de ataque da espada aumenta em +25%.","Sem Escalonamento (Flag > 0)","3","",""
"knight_berserk_arco_incendiario","Cavaleiro (Berserker)","Arco Incendiario","Aumenta a area do corte da espada em +40% e queima o chao por 1.5s.","Sem Escalonamento (Flag > 0)","8","",""
"knight_berserk_frenesi_ardente","Cavaleiro (Berserker)","Frenesi Ardente","Cada golpe consecutivo concede +5% de velocidade de ataque (acumula ate 6 vezes por 3s).","Sem Escalonamento (Flag > 0)","8","",""
"knight_berserk_combustao_espontanea","Cavaleiro (Berserker)","Combustao Espontanea","Inimigos mortos sob efeito de Queimadura explodem causando 60% do dano do ataque em area.","Sem Escalonamento (Flag > 0)","6","",""
"knight_berserk_sede_sangue","Cavaleiro (Berserker)","Sede de Sangue","Golpes criticos recuperam 15% do dano causado como vida e prolongam a Furia Ardente em +0.5s.","Sem Escalonamento (Flag > 0)","10","",""
"knight_berserk_cinzas_sacrificio","Cavaleiro (Berserker)","Cinzas do Sacrificio","Ativar Furia Ardente consome 30% do HP atual, mas dobra o bonus de dano de fogo nos primeiros 3s.","Sem Escalonamento (Flag > 0)","3","",""
"knight_berserk_lamina_brasa","Cavaleiro (Berserker)","Lamina em Brasa","Inimigos com armadura perdem 50% da sua reducao de dano contra seus ataques de fogo.","Sem Escalonamento (Flag > 0)","6","",""
"knight_berserk_vinganca_flamejante","Cavaleiro (Berserker)","Vinganca Flamejante","Sofrer dano fisico descarrega uma labareda ao redor do corpo que atinge todos num raio de 70px.","Sem Escalonamento (Flag > 0)","2","",""
"knight_berserk_furia_imortal","Cavaleiro (Berserker)","Furia Imortal","Enquanto a habilidade Furia Ardente estiver ativa, o jogador nao pode ser derrotado (mantem 1 HP).","Sem Escalonamento (Flag > 0)","9","",""
"knight_duelista_riposte_perfeito","Cavaleiro (Duelista)","Riposte Perfeito","Acertar um Parry com menos de 0.1s de margem causa +100% de dano critico no contra-ataque.","Sem Escalonamento (Flag > 0)","3","",""
"knight_duelista_passo_eolico","Cavaleiro (Duelista)","Passo Eolico","Bloquear ou aparar um golpe permite realizar um dash instantaneo na direcao de mira sem custo.","Sem Escalonamento (Flag > 0)","5","",""
"knight_duelista_combo_vendaval","Cavaleiro (Duelista)","Combo Vendaval","O segundo golpe do combo dispara uma rajada cortante de vento que atinge inimigos distantes.","Sem Escalonamento (Flag > 0)","6","",""
"knight_duelista_danca_laminas","Cavaleiro (Duelista)","Danca das Laminas","Aumenta a velocidade de movimento base em +25% por 2s apos cada abate.","Sem Escalonamento (Flag > 0)","2","",""
"knight_duelista_aparar_cadeia","Cavaleiro (Duelista)","Aparar em Cadeia","Aparar um golpe reseta imediatamente o tempo de recarga da habilidade de Parry.","Sem Escalonamento (Flag > 0)","4","",""
"knight_duelista_vacuo_cortante","Cavaleiro (Duelista)","Vacuo Cortante","O contra-ataque do Parry puxa todos os inimigos proximos para o centro antes de explodir.","Sem Escalonamento (Flag > 0)","7","",""
"knight_duelista_reflexos_celere","Cavaleiro (Duelista)","Reflexos Celere","Concede +15% de chance de esquiva passiva permanente contra qualquer golpe.","Escala com Rank","1","5","9"
"knight_duelista_estocada_fulminante","Cavaleiro (Duelista)","Estocada Fulminante","Se o golpe de uma sequencia atingir as costas do inimigo, causa 2.5x de dano.","Sem Escalonamento (Flag > 0)","8","",""
"knight_guardiao_muralha_sismica","Cavaleiro (GuardiÃ£o)","Muralha Sismica","O Bastiao de Terra cria estalagmites no chao ao redor bloqueando passagens e inimigos.","Sem Escalonamento (Flag > 0)","5","",""
"knight_guardiao_provocacao_esmagadora","Cavaleiro (GuardiÃ£o)","Provocacao Esmagadora","Inimigos provocados pelo Guardiao tem seu dano reduzido em 30% contra o jogador por 4s.","Sem Escalonamento (Flag > 0)","2","",""
"knight_guardiao_carapaca_granito","Cavaleiro (GuardiÃ£o)","Carapaca de Granito","Concede +12 de defesa fisica e imunidade a qualquer tipo de knockback ou empurrao.","Escala com Rank","3","8","12"
"knight_guardiao_retaliacao_sismica","Cavaleiro (GuardiÃ£o)","Retaliacao Sismica","Devolve 50% do dano de qualquer golpe recebido como dano de terra para todos ao redor.","Sem Escalonamento (Flag > 0)","6","",""
"knight_guardiao_fissura_telurica","Cavaleiro (GuardiÃ£o)","Fissura Telurica","Cada 4o golpe de espada faz rachar o chao em linha reta, atordoando o primeiro inimigo por 0.8s.","Sem Escalonamento (Flag > 0)","2","",""
"knight_guardiao_bastiao_inabalavel","Cavaleiro (GuardiÃ£o)","Bastiao Inabalavel","Bloquear ataques converte 15% do dano bloqueado em regeneracao de vida temporaria.","Sem Escalonamento (Flag > 0)","6","",""
"knight_guardiao_peso_esmagador","Cavaleiro (GuardiÃ£o)","Peso Esmagador","Empurrar um inimigo contra uma parede causa dano de esmagamento extra de 25 por rank.","Escala com Rank","1","2","4"
"knight_guardiao_fortaleza_viva","Cavaleiro (GuardiÃ£o)","Fortaleza Viva","Para cada inimigo a menos de 90px de distancia, ganha +3 de defesa e +5% de reducao de dano.","Sem Escalonamento (Flag > 0)","9","",""
"knight_lendario_vapor_sagrado","Cavaleiro (Base)","Vapor Sagrado","Ataques aplicam vapor escaldante: queimadura continua que tambem cura o jogador a cada tick.","Sem Escalonamento (Flag > 0)","15","",""
"knight_lendario_tempestade_poeira","Cavaleiro (Base)","Tempestade de Poeira","O contra-ataque do Parry levanta uma tempestade de areia que cega projeteis inimigos por 3s.","Sem Escalonamento (Flag > 0)","12","",""
"knight_lendario_gelo_fendido","Cavaleiro (Base)","Gelo Fendido","O impacto do escudo cria espinhos de gelo permanentes que congelam inimigos que pisam neles.","Sem Escalonamento (Flag > 0)","10","",""
"knight_lendario_tempestade_ignea","Cavaleiro (Base)","Tempestade Ignea","O combo do Duelista dispara tornados de fogo que perseguem os alvos mais proximos.","Sem Escalonamento (Flag > 0)","14","",""
"knight_lendario_avatar_elemental","Cavaleiro (Base)","Avatar Elemental","+25% de dano de ataque fisico e magico e desencadeia explosoes combinadas elementais.","Sem Escalonamento (Flag > 0)","12","",""
"knight_lendario_cavaleiro_apocalipse","Cavaleiro (Base)","Cavaleiro do Apocalipse","A cada 10 inimigos derrotados sem sofrer dano, o proximo golpe descarrega um meteoro no alvo.","Sem Escalonamento (Flag > 0)","15","",""
"knight_lendario_escudo_titanico","Cavaleiro (Base)","Escudo Titanico","O tamanho do escudo dobra, cobrindo 180 frontais e bloqueando passagens inteiras.","Sem Escalonamento (Flag > 0)","10","",""
"knight_lendario_eco_ancestrais","Cavaleiro (Base)","Eco dos Ancestrais","Bloquear ou contra-atacar invoca o espirito translucido de um guerreiro que desfere um golpe gemeo.","Sem Escalonamento (Flag > 0)","13","",""
"mage_canalizacao_fluida","Mago (Arcano)","Canalizacao Fluida","Mover-se nao interrompe a conjuracao do ataque magico basico.","Sem Escalonamento (Flag > 0)","3","",""
"mage_mente_cristalina","Mago (Arcano)","Mente Cristalina","Ficar sem sofrer dano por 4s concede +20% de dano magico no proximo feitico.","Sem Escalonamento (Flag > 0)","4","",""
"mage_eco_magico","Mago (Arcano)","Eco Magico","Todo 4o projetil magico dispara uma replica menor adicional com 50% de dano.","Sem Escalonamento (Flag > 0)","6","",""
"mage_protecao_mana_reativa","Mago (Arcano)","Protecao Mana-Reativa","Ao sofrer um golpe que tire mais de 15% de HP, repele os inimigos em 120px.","Sem Escalonamento (Flag > 0)","2","",""
"mage_sobrecarga_feitico","Mago (Arcano)","Sobrecarga de Feitico","Acertos criticos magicos causam mini-explosao de 50px de raio com 40% de dano.","Sem Escalonamento (Flag > 0)","9","",""
"mage_condensacao_arcana","Mago (Arcano)","Condensacao Arcana","Projeteis magicos que viajam mais de 250px ganham +25% de dano e tamanho.","Sem Escalonamento (Flag > 0)","7","",""
"mage_sifao_alma","Mago (Arcano)","Sifao da Alma","Derrotar um inimigo restaura instantaneamente 3 pontos de HP.","Sem Escalonamento (Flag > 0)","5","",""
"mage_fluxo_conduzido","Mago (Arcano)","Fluxo Conduzido","+15% de velocidade de viagem para todos os projeteis magicos disparados.","Sem Escalonamento (Flag > 0)","3","",""
"mage_ressonancia_foco","Mago (Arcano)","Ressonancia de Foco","O Manashield dura +1.2s e reduz todo dano recebido em 25%.","Sem Escalonamento (Flag > 0)","8","",""
"mage_conhecimento_ancestral","Mago (Arcano)","Conhecimento Ancestral","Ganha +2 de Poder Magico a cada 15 inimigos derrotados na run (maximo +12).","Escala com Rank","1","3","7"
"mage_crio_geada_penetrante","Mago (Criomante)","Geada Penetrante","Projeteis basicos aplicam 30% de lentidao por 2s a cada impacto.","Sem Escalonamento (Flag > 0)","4","",""
"mage_crio_pico_glacial","Mago (Criomante)","Pico Glacial","Inimigos sob lentidao recebem 1.5s de congelamento total se atingidos por magia.","Sem Escalonamento (Flag > 0)","5","",""
"mage_crio_armadura_gelo_negro","Mago (Criomante)","Armadura de Gelo Negro","Enquanto o Manashield estiver ativo, qualquer contato fisico congela o agressor.","Sem Escalonamento (Flag > 0)","3","",""
"mage_crio_onda_torrencial","Mago (Criomante)","Onda Torrencial","O 3o ataque magico dispara uma mare frontal que arrasta monstros por 150px.","Sem Escalonamento (Flag > 0)","6","",""
"mage_crio_prisao_criogenica","Mago (Criomante)","Prisao Criogenica","A Prisao Glacial (X) estilhaca no final, disparando 6 fragmentos congelantes.","Sem Escalonamento (Flag > 0)","4","",""
"mage_crio_orvalho_restaurador","Mago (Criomante)","Orvalho Restaurador","Derrotar inimigos congelados gera uma poca dagua pura que regenera 8 HP.","Sem Escalonamento (Flag > 0)","7","",""
"mage_crio_lanca_zero_absoluto","Mago (Criomante)","Lanca de Zero Absoluto","Ataques contra inimigos imobilizados ou lentos tem +35% de chance de acerto critico.","Sem Escalonamento (Flag > 0)","5","",""
"mage_crio_coracao_geada","Mago (Criomante)","Coracao da Geada","Imunidade a lentidao e venenos; converte 15% do dano de frio recebido em escudo.","Sem Escalonamento (Flag > 0)","8","",""
"mage_piro_centelha_incandescente","Mago (Piromante)","Centelha Incandescente","Projeteis basicos deixam inimigos em chamas por 3s causando dano continuo.","Sem Escalonamento (Flag > 0)","4","",""
"mage_piro_meteoro_menor","Mago (Piromante)","Meteoro Menor","A cada 5 acertos magicos, um meteoro menor despenca causando 20 de dano em area.","Sem Escalonamento (Flag > 0)","6","",""
"mage_piro_rastro_flamejante","Mago (Piromante)","Rastro Flamejante","Andar deixa uma esteira de brasas vivas por 1.5s que queima monstros que pisarem.","Sem Escalonamento (Flag > 0)","4","",""
"mage_piro_inferno_expansivo","Mago (Piromante)","Inferno Expansivo","Abater um inimigo em chamas faz com que ele exploda, espalhando fogo aos vizinhos.","Sem Escalonamento (Flag > 0)","3","",""
"mage_piro_ponto_fusao","Mago (Piromante)","Ponto de Fusao","O dano de fogo ignora 50% da armadura fisica e magica dos inimigos.","Sem Escalonamento (Flag > 0)","8","",""
"mage_piro_conflagracao_furiosa","Mago (Piromante)","Conflagracao Furiosa","O Ponto de Ignicao (X) atrai cinzas que aumentam a cadencia de feiticos em +30% por 3s.","Sem Escalonamento (Flag > 0)","4","",""
"mage_piro_sopro_dragao","Mago (Piromante)","Sopro de Dragao","O feitico basico se torna um cone continuo de chamas a curto alcance com dano em area.","Sem Escalonamento (Flag > 0)","7","",""
"mage_piro_fenix_imortal","Mago (Piromante)","Fenix Imortal","Ao sofrer dano fatal, liberta uma supernova curando 35% de vida (1 vez por run).","Sem Escalonamento (Flag > 0)","12","",""
"mage_aero_arco_eletrico","Mago (Aeromante)","Arco Eletrico","Projeteis magicos encadeiam um raio secundario para ate 2 alvos proximos.","Sem Escalonamento (Flag > 0)","4","",""
"mage_aero_passo_cefiro","Mago (Aeromante)","Passo Cefiro","+20% de velocidade base; aumenta em mais +10% apos usar feiticos por 2s.","Escala com Rank","1","2","4"
"mage_aero_sobrecarga_estatica","Mago (Aeromante)","Sobrecarga Estatica","Mover-se acumula carga eletrica; com 100% de carga, o proximo ataque atordoa por 1s.","Sem Escalonamento (Flag > 0)","4","",""
"mage_aero_tufao_repulsor","Mago (Aeromante)","Tufao Repulsor","O Manashield (X) gera uma rajada circular de vento que afasta projeteis inimigos.","Sem Escalonamento (Flag > 0)","5","",""
"mage_aero_salto_tempestuoso","Mago (Aeromante)","Salto Tempestuoso","A Distorcao Voltaica (X) recarrega 40% mais rapido se passar por dentro de inimigos.","Sem Escalonamento (Flag > 0)","6","",""
"mage_aero_vortice_cortante","Mago (Aeromante)","Vortice Cortante","O 3o projetil consecutivo gera um minifuracao no impacto que puxa monstros fracos.","Sem Escalonamento (Flag > 0)","6","",""
"mage_aero_condutividade_letal","Mago (Aeromante)","Condutividade Letal","Inimigos lentos ou molhados sofrem o dobro de dano de raio e choque prolongado.","Sem Escalonamento (Flag > 0)","8","",""
"mage_aero_olho_furacao","Mago (Aeromante)","Olho do Furacao","Esquiva de projeteis aumentada em +15% enquanto o mago estiver em movimento.","Escala com Rank","1","3","7"
"mage_geo_projetil_rochoso","Mago (Geomante)","Projetil Rochoso","A magia basica ganha pedras pesadas com +60% de empurrao (knockback).","Sem Escalonamento (Flag > 0)","4","",""
"mage_geo_armadura_granito","Mago (Geomante)","Armadura de Granito","+6 de Defesa Fisica permanente e imunidade a cortes fracos.","Escala com Rank","2","5","9"
"mage_geo_tremer_terra","Mago (Geomante)","Tremer da Terra","O impacto de projeteis em paredes gera uma onda sismica curta no chao causando lentidao.","Sem Escalonamento (Flag > 0)","6","",""
"mage_geo_monolito_esmagador","Mago (Geomante)","Monolito Esmagador","O Monolito Basaltico (X) desaba no fim da duracao causando 40 de dano em area.","Sem Escalonamento (Flag > 0)","8","",""
"mage_geo_espinhos_teluricos","Mago (Geomante)","Espinhos Teluricos","Inimigos empurrados contra paredes por magias sofrem o dobro de dano de impacto.","Sem Escalonamento (Flag > 0)","5","",""
"mage_geo_coracao_areia","Mago (Geomante)","Coracao de Areia","Ganha barreira temporaria igual a 5% do dano causado com magias de terra.","Sem Escalonamento (Flag > 0)","3","",""
"mage_geo_poco_gravitacional","Mago (Geomante)","Poco Gravitacional","Inimigos a menos de 70px do mago sofrem 40% de lentidao constante pela gravidade.","Sem Escalonamento (Flag > 0)","7","",""
"mage_geo_estilhaco_basalto","Mago (Geomante)","Estilhaco de Basalto","Abates com magias de terra explodem em 4 fragmentos pontiagudos que perfuram alvos.","Sem Escalonamento (Flag > 0)","5","",""
"mage_lendario_vapor_fulminante","Mago (Arcano)","Vapor Fulminante","Inimigos queimados e congelados simultaneamente liberam vapor fervente com dano continuo em area.","Sem Escalonamento (Flag > 0)","12","",""
"mage_lendario_tempestade_areia","Mago (Arcano)","Tempestade de Areia","Projeteis de terra liberam cortinas de areia que fazem inimigos errarem 50% dos ataques.","Sem Escalonamento (Flag > 0)","12","",""
"mage_lendario_gelo_fendido","Mago (Arcano)","Gelo Fendido","Impactos de gelo petrificam o chao, congelando inimigos permanentemente ao pisarem.","Sem Escalonamento (Flag > 0)","10","",""
"mage_lendario_tempestade_plasma","Mago (Arcano)","Tempestade de Plasma","Relampagos inflamam alvos e geram arcos de plasma teleguiados em cascata.","Sem Escalonamento (Flag > 0)","14","",""
"mage_lendario_avatar_arcano","Mago (Arcano)","Avatar Arcano","+30% de Poder Magico total e Manashield absorve 100% de dano por 1s ao ser ativado.","Sem Escalonamento (Flag > 0)","15","",""
"mage_lendario_singularidade_dimensional","Mago (Arcano)","Singularidade Dimensional","A cada 12s, o proximo feitico cria um buraco negro que suga e desintegra projeteis.","Sem Escalonamento (Flag > 0)","15","",""
"mage_lendario_chuva_cometas","Mago (Arcano)","Chuva de Cometas","Acertos criticos convocam cometas gigantescos incandescentes que esmagam em area.","Sem Escalonamento (Flag > 0)","14","",""
"mage_lendario_conjurador_supremo","Mago (Arcano)","Conjurador Supremo","Elimina o intervalo entre ataques magicos caso acerte 5 feiticos consecutivos.","Sem Escalonamento (Flag > 0)","15","",""
"archer_tiro_em_corrida","Arqueiro (Base)","Tiro em Corrida","Atirar enquanto se desloca reduz a desaceleracao de movimento em 60%.","Sem Escalonamento (Flag > 0)","4","",""
"archer_ponto_cego","Arqueiro (Base)","Ponto Cego","Flechas que atingem inimigos a mais de 300px de distancia causam +30% de dano critico.","Sem Escalonamento (Flag > 0)","6","",""
"archer_perfuracao_reta","Arqueiro (Base)","Perfuracao Reta","Todas as flechas atravessam 1 inimigo adicional antes de sumir.","Sem Escalonamento (Flag > 0)","7","",""
"archer_aljava_leve","Arqueiro (Base)","Aljava Leve","+20% de velocidade de ataque base com o arco longo.","Escala com Rank","1","3","6"
"archer_pontas_farpadas","Arqueiro (Base)","Pontas Farpadas","Acertos criticos aplicam sangramento causando 20% do dano ao longo de 2s.","Sem Escalonamento (Flag > 0)","5","",""
"archer_recuo_emergencia","Arqueiro (Base)","Recuo de Emergencia","Ao sofrer dano fisico, repele o agressor 90px para tras (recarga: 8s).","Sem Escalonamento (Flag > 0)","3","",""
"archer_reflexo_cacador","Arqueiro (Base)","Reflexo do Cacador","Usar o Rolamento concede +25% de velocidade de ataque pelos proximos 2s.","Sem Escalonamento (Flag > 0)","5","",""
"archer_flecha_pesada","Arqueiro (Base)","Flecha Pesada","Aumenta a forca de empurrao (knockback) das flechas em +50%.","Sem Escalonamento (Flag > 0)","6","",""
"archer_tiro_concentrado","Arqueiro (Base)","Tiro Concentrado","Ficar parado por 1.5s garante 100% de chance de critico na proxima flecha.","Sem Escalonamento (Flag > 0)","8","",""
"archer_saque_rapido","Arqueiro (Base)","Saque Rapido","Rolamento recarrega 15% mais rapido a cada acerto critico desferido.","Sem Escalonamento (Flag > 0)","4","",""
"archer_glacial_flecha_estalactite","Arqueiro (Gelo)","Flecha de Estalactite","Flechas aplicam 25% de lentidao acumulativa a cada impacto no alvo.","Sem Escalonamento (Flag > 0)","5","",""
"archer_glacial_pista_escorregadia","Arqueiro (Gelo)","Pista Escorregadia","O rolamento deixa um rastro de agua congelada no solo que desorienta inimigos.","Sem Escalonamento (Flag > 0)","3","",""
"archer_glacial_chuva_torrencial","Arqueiro (Gelo)","Chuva Torrencial","Toda 5Âª flecha atirada faz chover 4 projeteis aquaticos celestes em leque.","Sem Escalonamento (Flag > 0)","6","",""
"archer_glacial_flecha_arpao","Arqueiro (Gelo)","Flecha Arpao","Flechas perfurantes conectam alvos com agua, dividindo dano entre ate 3 monstros.","Sem Escalonamento (Flag > 0)","5","",""
"archer_glacial_brisa_curativa","Arqueiro (Gelo)","Brisa Curativa","Abater inimigos sob lentidao libera goticulas que restauram 4 de HP.","Sem Escalonamento (Flag > 0)","7","",""
"archer_glacial_nevoa_ilusoria","Arqueiro (Gelo)","Nevoa Ilusoria","Inimigos dentro da nevoa do Rolamento perdem a linha de visao e erram seus ataques.","Sem Escalonamento (Flag > 0)","4","",""
"archer_glacial_perfurador_glacial","Arqueiro (Gelo)","Perfurador Glacial","Tiros em alvos congelados causam o dobro de dano e quebram gelo em estilhacos.","Sem Escalonamento (Flag > 0)","6","",""
"archer_glacial_tiro_maelstrom","Arqueiro (Gelo)","Tiro do Maelstrom","A flecha se transforma em um redemoinho aquatico tragando monstros em sua trajetoria.","Sem Escalonamento (Flag > 0)","9","",""
"archer_balist_flecha_incendiaria","Arqueiro (Fogo)","Flecha Incendiaria","Flechas incendeiam inimigos atingidos causando dano de fogo continuo por 3s.","Sem Escalonamento (Flag > 0)","5","",""
"archer_balist_detonacao_parede","Arqueiro (Fogo)","Detonacao de Parede","Flechas que colidem com paredes explodem causando 30 de dano em area.","Sem Escalonamento (Flag > 0)","6","",""
"archer_balist_tiro_fragmentacao","Arqueiro (Fogo)","Tiro de Fragmentacao","O 3o disparo solta uma flecha que se divide em 3 fagulhas explosivas no impacto.","Sem Escalonamento (Flag > 0)","6","",""
"archer_balist_marca_purgatorio","Arqueiro (Fogo)","Marca do Purgatorio","Inimigos em chamas atingidos por criticos explodem causando combustao em massa.","Sem Escalonamento (Flag > 0)","7","",""
"archer_balist_propulsao_ardente","Arqueiro (Fogo)","Propulsao Ardente","O Tiro de Recuo (X) projeta o arqueiro 50% mais longe e deixa labaredas no solo.","Sem Escalonamento (Flag > 0)","4","",""
"archer_balist_polvora_concentrada","Arqueiro (Fogo)","Polvora Concentrada","+25% de raio de explosao para todos os efeitos de fogo do arqueiro.","Sem Escalonamento (Flag > 0)","5","",""
"archer_balist_balista_piromante","Arqueiro (Fogo)","Balista Piromante","Ficar imovel acumula calor; a flecha atinge velocidade extrema e perfura todos os alvos.","Sem Escalonamento (Flag > 0)","8","",""
"archer_balist_fenix_cacadora","Arqueiro (Fogo)","Fenix Cacadora","O disparo vira uma fenix voadora teleguiada que persegue o inimigo mais perigoso.","Sem Escalonamento (Flag > 0)","9","",""
"archer_venda_disparo_leque","Arqueiro (Vento)","Disparo em Leque","O ataque basico atira 3 flechas simultaneas em leque com 40% de dano cada.","Sem Escalonamento (Flag > 0)","5","",""
"archer_venda_flecha_teleguiada","Arqueiro (Vento)","Flecha Teleguiada","Flechas curvam levemente a trajetoria no ar para encontrar inimigos proximos.","Sem Escalonamento (Flag > 0)","6","",""
"archer_venda_tiro_supersonico","Arqueiro (Vento)","Tiro Supersonico","A velocidade da flecha dobra e o disparo anula projeteis menores no trajeto.","Sem Escalonamento (Flag > 0)","6","",""
"archer_venda_rolamento_furacao","Arqueiro (Vento)","Rolamento Furacao","A Esquiva Ciclonica (X) empurra inimigos adjacentes para fora com rajada de vento.","Sem Escalonamento (Flag > 0)","4","",""
"archer_venda_danca_ventos","Arqueiro (Vento)","Danca dos Ventos","Esquivar com sucesso concede +100% de velocidade de ataque para as proximas 2 flechas.","Sem Escalonamento (Flag > 0)","7","",""
"archer_venda_corte_tufao","Arqueiro (Vento)","Corte do Tufao","Flechas criam ondas de vacuo laterais causando dano raspante a alvos vizinhos.","Sem Escalonamento (Flag > 0)","5","",""
"archer_venda_passo_etereo","Arqueiro (Vento)","Passo Etereo","Aumenta o tempo de invulnerabilidade do Rolamento em +0.15 segundos.","Escala com Rank","1","4","8"
"archer_venda_tempestade_mil_tiros","Arqueiro (Vento)","Tempestade de Mil Tiros","Dispara uma torrente de 15 flechas ultrarrapidas em cone devastador a frente.","Sem Escalonamento (Flag > 0)","9","",""
"archer_terra_flecha_arpao_pedra","Arqueiro (Terra)","Flecha Arpao de Pedra","Flechas pesadas que empurram inimigos ate paredes causam atordoamento de 1s.","Sem Escalonamento (Flag > 0)","5","",""
"archer_terra_tremores_impacto","Arqueiro (Terra)","Tremores de Impacto","Cada flecha que atinge o solo solta uma mini-fissura que causa lentidao de 30%.","Sem Escalonamento (Flag > 0)","6","",""
"archer_terra_flecha_enraizadora","Arqueiro (Terra)","Flecha Enraizadora","A cada 4 acertos, raizes emergem do solo e prendem o monstro no lugar por 2s.","Sem Escalonamento (Flag > 0)","7","",""
"archer_terra_postura_fortaleza","Arqueiro (Terra)","Postura da Fortaleza","A Fixacao de Ancora (X) concede +15 de defesa fisica e imunidade a knockback.","Sem Escalonamento (Flag > 0)","6","",""
"archer_terra_balista_obsidiana","Arqueiro (Terra)","Balista de Obsidiana","Flechas tem 35% de chance de despedacar armaduras e escudos inimigos.","Sem Escalonamento (Flag > 0)","8","",""
"archer_terra_raizes_sanguineas","Arqueiro (Terra)","Raizes Sanguineas","Inimigos enraizados sofrem +30% a mais de dano de qualquer fonte.","Sem Escalonamento (Flag > 0)","7","",""
"archer_terra_estacas_defensivas","Arqueiro (Terra)","Estacas Defensivas","Ao rolar, deixa 3 armadilhas de espinhos de pedra no solo causando dano.","Sem Escalonamento (Flag > 0)","4","",""
"archer_terra_tiro_cataclismico","Arqueiro (Terra)","Tiro Cataclismico","Dispara uma flecha colossal que perfura a sala inteira empurrando monstros.","Sem Escalonamento (Flag > 0)","9","",""
"archer_lendario_flecha_aurora_glacial","Arqueiro (Base)","Flecha da Aurora Glacial","Flechas cravam estacas de gelo no solo que explodem em espinhos quando inimigos pisam.","Sem Escalonamento (Flag > 0)","12","",""
"archer_lendario_tempestade_ignea_aerea","Arqueiro (Base)","Tempestade Ignea Aerea","Flechas em leque inflamam criando tres tornados de fogo moveis na sala.","Sem Escalonamento (Flag > 0)","14","",""
